"Figure 1: Cumulative number of deaths involving COVID-19 by date of registration, Scotland, 2020",,,,,,,,,,,,,back to contents,
,,,,,,,,,,,,,,
Date,Count,,,,,,,,,,,,,
17/07/2020,"4,193",,,,,,,,,,,,,
18/07/2020,"4,193",,,,,,,,,,,,,
19/07/2020,"4,193",,,,,,,,,,,,,
20/07/2020,"4,194",,,,,,,,,,,,,
21/07/2020,"4,198",,,,,,,,,,,,,
22/07/2020,"4,199",,,,,,,,,,,,,
23/07/2020,"4,200",,,,,,,,,,,,,
24/07/2020,"4,201",,,,,,,,,,,,,
25/07/2020,"4,201",,,,,,,,,,,,,
26/07/2020,"4,201",,,,,,,,,,,,,
,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,
